기준일시,"검체채취
가능여부",시도,시군구,의료기관명 ,주소,대표 전화번호
2020년 06월 09일 18시,O,서울,강남구,강남구보건소,서울특별시 강남구 선릉로 668 (삼성동),02-3423-5555
2020년 06월 09일 18시,O,서울,강남구,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",02-3410-2114
2020년 06월 09일 18시,O,서울,강남구,연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114
2020년 06월 09일 18시,O,서울,강동구,강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),02-440-7000
2020년 06월 09일 18시,O,서울,강동구,강동구보건소,서울특별시 강동구 성내로 45 (성내동),02-3425-8565
2020년 06월 09일 18시,O,서울,강동구,한국보훈복지의료공단중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),02-2225-1114
2020년 06월 09일 18시,O,서울,강북구,강북구보건소,"서울특별시 강북구 한천로 897 (번동, 강북보건소,번2동주민센터)","02-901-7706
02-901-7704"
2020년 06월 09일 18시,O,서울,강서구,강서구보건소,"서울특별시 강서구 공항대로 561 (염창동, 강서보건소)",02-2600-5868
2020년 06월 09일 18시,O,서울,강서구,이화여자대학교의과대학부속서울병원,"서울특별시 강서구 공항대로 260, 이화여자대학교 제2부속병원 (마곡동)",1522-7000
2020년 06월 09일 18시,O,서울,관악구,관악구보건소,서울특별시 관악구 관악로 145 (봉천동),02-879-7131
2020년 06월 09일 18시,O,서울,관악구,에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",02-1877-8875
2020년 06월 09일 18시,O,서울,광진구,광진구보건소,서울특별시 광진구 자양로 117 (자양동),02-450-1937
2020년 06월 09일 18시,X,서울,광진구,광진구보건소 자양보건지소,서울특별시 광진구 아차산로24길 17 ,02-450-7090
2020년 06월 09일 18시,O,서울,광진구,건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),02-1588-1533
2020년 06월 09일 18시,O,서울,구로구,구로구보건소,"서울특별시 구로구 구로중앙로28길 66 (구로동, 구로5동 주민센터, 구로구보건소)",02-860-2013~2015
2020년 06월 09일 18시,O,서울,구로구,고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",02-2626-1114
2020년 06월 09일 18시,O,서울,구로구,구로성심병원,서울특별시 구로구 경인로 427,02-2067-1500
2020년 06월 09일 18시,O,서울,금천구,금천구보건소,"서울특별시 금천구 시흥대로73길 70 (시흥동, 금천구보건소)",02-2627-2717
2020년 06월 09일 18시,O,서울,금천구,희명병원,서울특별시 금천구 시흥대로 244,02-2219-7231
2020년 06월 09일 18시,O,서울,노원구,노원구보건소,서울특별시 노원구 노해로 437 (상계동),02-2116-4342~4
2020년 06월 09일 18시,O,서울,노원구,노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8000
2020년 06월 09일 18시,O,서울,노원구,인제대학교상계백병원,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",02-950-1114
2020년 06월 09일 18시,O,서울,도봉구,도봉구보건소,"서울특별시 도봉구 방학로3길 117 (쌍문동, 도봉보건소)",02-2091-4483
2020년 06월 09일 18시,O,서울,동대문구,동대문구보건소,서울특별시 동대문구 천호대로 145 (용두동),02-2127-4283
